Name,Latitude,Longitude
Jesse Owens Recreation Center South,39.99518249734335,-83.01143995016295
Ohio State University Adventure Recreation Center,40.00297043146409,-83.03123124046205
Morrill Tower,40.00044158408426,-83.02191325531253
Drackett Tower,40.005714806985324,-83.01343666943346
Fisher Hall,40.00510568145223,-83.01608438667387
The City Apartment,40.01953005140576,-83.02621646082328
Essex Apartment,39.99354913037386,-83.03841542818388
Thompson Library,39.99948959924937,-83.01503310195076
18th Avenue Library,40.001828363941826,-83.01190049393139
Jennings Hall,39.997169984168835,-83.01536287333685
Ohio Union,39.99811285119411,-83.00843026578148
Easton Town Center,40.05069187242654,-82.91469645653672
John Glenn Columbus International Airport,40.0001494783662,-82.88696212339627
Target(1717 Olentangy River Rd),39.99402900446088,-83.02744925414572